product_name,Typee
Roadbike,Strattos
Roadbike,Divine
Urban,Heist
Children,Crosser
Simple,Urbano
Children,Alice
Urban,Sierra
Urban,Path
Gravel,Bend
Children,Relic
Roadbike,Helios
Mountain,Premier
Mountain,Xtrada
Mountain,Siskiu
BMX,Razor
Mountain,Cleo
Mountain,Collosus
BMX,Rudge
Children,Rascal
Mountain,Xquareone
Mountain,Monarch
